name,canonicalTranscript_graph_id,chromosome,entrezId,jaxId,description_graph_id,synonyms_graph_id,graph_id
CDKN2C,es_20200604084213238491,1,1031,1031,es_20200422171221297964,esl_20200604084213238491,jax_gene_1031
MAPKAPK2,es_20200604084213238582,1,9261,9261,es_20200422170635388938,esl_20200604084213238582,jax_gene_9261
DOT1L,es_20200604084213238612,19,84444,84444,es_20200422163434616772,esl_20200604084213238612,jax_gene_84444
CDK9,es_20200604084213238641,9,1025,1025,es_20200422175613174909,esl_20200604084213238641,jax_gene_1025
KDM5A,es_20200604084213238669,12,5927,5927,es_20200422171703395587,esl_20200604084213238669,jax_gene_5927
CCNJ,es_20200604084213238696,10,54619,54619,es_20200422175537452634,esl_20200604084213238696,jax_gene_54619
SKP2,es_20200604084213238720,5,6502,6502,es_20200422163440333257,esl_20200604084213238720,jax_gene_6502
AGO4,es_20200604084213238749,1,192670,192670,es_20200422175534350847,esl_20200604084213238749,jax_gene_192670
STK19,es_20200604084213238774,6,8859,8859,es_20200422163613018010,esl_20200604084213238774,jax_gene_8859
ATIC,es_20200604084213238802,2,471,471,es_20200422163433090412,esl_20200604084213238802,jax_gene_471
BRAF,es_20200604084213238830,7,673,673,es_20200422171928168012,esl_20200604084213238830,jax_gene_673
HNRNPUL1,es_20200604084213238858,19,11100,11100,es_20200422163832276717,esl_20200604084213238858,jax_gene_11100
CCNH,es_20200604084213238884,5,902,902,es_20200422164143434252,esl_20200604084213238884,jax_gene_902
CBL,es_20200604084213238910,11,867,867,es_20200422163436306852,esl_20200604084213238910,jax_gene_867
EZH2,es_20200604084213238938,7,2146,2146,es_20200422163504852481,esl_20200604084213238938,jax_gene_2146
FOXO4,es_20200604084213238968,X,4303,4303,es_20200422175538102985,esl_20200604084213238968,jax_gene_4303
UBE2R2,es_20200604084213238995,9,54926,54926,es_20200422163442837354,esl_20200604084213238995,jax_gene_54926
EDNRB,es_20200604084213239023,13,1910,1910,es_20200422163446483067,esl_20200604084213239023,jax_gene_1910
SDCBP,es_20200604084213239059,8,6386,6386,es_20200422175542925833,esl_20200604084213239059,jax_gene_6386
CAPZA2,es_20200604084213239088,7,830,830,es_20200422163500130580,esl_20200604084213239088,jax_gene_830
LEO1,es_20200604084213239113,15,123169,123169,es_20200422163455100730,esl_20200604084213239113,jax_gene_123169
HDAC6,es_20200604084213239137,X,10013,10013,es_20200422163453164307,esl_20200604084213239137,jax_gene_10013
RNF130,es_20200604084213239163,5,55819,55819,es_20200422163448527660,esl_20200604084213239163,jax_gene_55819
GPBP1,es_20200604084213239189,5,65056,65056,es_20200422163452610988,esl_20200604084213239189,jax_gene_65056
TNFAIP3,es_20200604084213239216,6,7128,7128,es_20200422163459159031,esl_20200604084213239216,jax_gene_7128
KCNH2,es_20200604084213239243,7,3757,3757,es_20200422163507316784,esl_20200604084213239243,jax_gene_3757
DLL4,es_20200604084213239276,15,54567,54567,es_20200422163500664886,esl_20200604084213239276,jax_gene_54567
PACSIN2,es_20200604084213239302,22,11252,11252,es_20200422163457129630,esl_20200604084213239302,jax_gene_11252
PRRX1,es_20200604084213239327,1,5396,5396,es_20200422163503192290,esl_20200604084213239327,jax_gene_5396
MOS,es_20200604084213239355,8,4342,4342,es_20200422163526866867,esl_20200604084213239355,jax_gene_4342
EPHA3,es_20200604084213239378,3,2042,2042,es_20200422163555112696,esl_20200604084213239378,jax_gene_2042
UGT1A1,es_20200604084213239409,2,54658,54658,es_20200422163513099613,esl_20200604084213239409,jax_gene_54658
SDHB,es_20200604084213239442,1,6390,6390,es_20200422163511119001,esl_20200604084213239442,jax_gene_6390
SLFN11,es_20200604084213239472,17,91607,91607,es_20200422175545324153,esl_20200604084213239472,jax_gene_91607
NECTIN4,es_20200604084213239496,1,81607,81607,es_20200422163512529472,esl_20200604084213239496,jax_gene_81607
STAT6,es_20200604084213239524,12,6778,6778,es_20200422163539378042,esl_20200604084213239524,jax_gene_6778
PDE4DIP,es_20200604084213239551,1,9659,9659,es_20200422163527802584,esl_20200604084213239551,jax_gene_9659
SIRT6,es_20200604084213239576,19,51548,51548,es_20200422163535297397,esl_20200604084213239576,jax_gene_51548
PTPRB,es_20200604084213239600,12,5787,5787,es_20200422163610934846,esl_20200604084213239600,jax_gene_5787
DCTN1,es_20200604084213239628,2,1639,1639,es_20200422163526960863,esl_20200604084213239628,jax_gene_1639
TRAF2,es_20200604084213239653,9,7186,7186,es_20200422163534033528,esl_20200604084213239653,jax_gene_7186
PDGFA,es_20200604084213239679,7,5154,5154,es_20200422163540905551,esl_20200604084213239679,jax_gene_5154
FGF10,es_20200604084213239704,5,2255,2255,es_20200422163623809784,esl_20200604084213239704,jax_gene_2255
CDKN2A,es_20200604084213239726,9,1029,1029,es_20200422163632714138,esl_20200604084213239726,jax_gene_1029
JAK1,es_20200604084213239768,1,3716,3716,es_20200422163614603431,esl_20200604084213239768,jax_gene_3716
HSBP1,es_20200604084213239796,16,3281,3281,es_20200422163849068940,esl_20200604084213239796,jax_gene_3281
PIM1,es_20200604084213239820,6,5292,5292,es_20200422163612016533,esl_20200604084213239820,jax_gene_5292
ANXA5,es_20200604084213239844,4,308,308,es_20200422175540670037,esl_20200604084213239844,jax_gene_308
RAF1,es_20200604084213239874,3,5894,5894,es_20200422163709813817,esl_20200604084213239874,jax_gene_5894
CSTF3,es_20200604084213239902,11,1479,1479,es_20200422163629728934,esl_20200604084213239902,jax_gene_1479
THBS1,es_20200604084213239926,15,7057,7057,es_20200422163625801139,esl_20200604084213239926,jax_gene_7057
SOAT1,es_20200604084213239954,1,6646,6646,es_20200422163630239312,esl_20200604084213239954,jax_gene_6646
H2AX,es_20200604084213239983,11,3014,3014,es_20200422163635335615,esl_20200604084213239983,jax_gene_3014
FANCL,es_20200604084213240009,2,55120,55120,es_20200422163637748323,esl_20200604084213240009,jax_gene_55120
KDM4B,es_20200604084213240035,19,23030,23030,es_20200422163650105919,esl_20200604084213240035,jax_gene_23030
HLA-B,es_20200604084213240060,6,3106,3106,es_20200422163654723354,esl_20200604084213240060,jax_gene_3106
SVOPL,es_20200604084213240088,7,136306,136306,es_20200422163651052283,esl_20200604084213240088,jax_gene_136306
MAGEA3,es_20200604084213240114,X,4102,4102,es_20200422163640461286,esl_20200604084213240114,jax_gene_4102
XRCC1,es_20200604084213240143,19,7515,7515,es_20200422163652130566,esl_20200604084213240143,jax_gene_7515
GID4,es_20200604084213240170,17,79018,79018,es_20200422163708358240,esl_20200604084213240170,jax_gene_79018
TNS1,es_20200604084213240196,2,7145,7145,es_20200422163653770665,esl_20200604084213240196,jax_gene_7145
